,ECO Code,ECO Name,Number of Master Games,Number of f6 moves,SF Eval,No f6 Eval,No f6 Delta,Colour
1. Nf3 d5 2. g3 c5 3. Bg2,A08,King's Indian Attack: Sicilian Variation,2613,13,19,23,4,C0
1. d4 f5 2. c4 Nf6 3. g3 g6 4. Bg2 Bg7 5. Nf3,A87,Dutch Defense: Leningrad Variation,2612,0,47,48,1,C0
1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3,B12,"Caro-Kann Defense: Advance Variation, Van der Wiel Attack",2609,0,4,17,13,C1
1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4,C44,Scotch Game: Scotch Gambit,2604,0,-9,-1,8,C2
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Bb4+,E16,Queen's Indian Defense: Capablanca Variation,2603,0,34,29,-5,C4
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Bd3 d5 6. Nf3 c5 7. O-O Nc6 8. a3 Bxc3 9. bxc3,E58,"Nimzo-Indian Defense: Normal Variation, Bernstein Defense, Exchange Line",2600,0,15,19,4,C4
1. e4 c5 2. Nf3 g6 3. d4 Bg7,B27,Sicilian Defense: Hyperaccelerated Pterodactyl,2590,0,80,80,0,C1
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. Qa4,E15,"Queen's Indian Defense: Fianchetto Variation, Nimzowitsch Variation, Nimzowitsch Attack",2587,0,8,15,7,C4
1. e4 c6 2. d3,B10,Caro-Kann Defense: Breyer Variation,2583,0,15,28,13,C1
1. d4 Nf6 2. c4 c5 3. d5 b5 4. Nf3,A57,Benko Gambit Declined: Main Line,2581,0,37,47,10,C0
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f4 O-O 6. Nf3 c5 7. d5,E76,"King's Indian Defense: Four Pawns Attack, Dynamic Attack",2578,0,7,22,15,C4
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Be7 8. Qf3 Qc7 9. O-O-O Nbd7,B99,"Sicilian Defense: Najdorf Variation, Main Line",2567,0,52,52,0,C1
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 c6 12. d4 Bd6 13. Re1 Qh4 14. g3 Qh3,C89,"Ruy Lopez: Marshall Attack, Modern Main Line",2547,0,0,12,12,C2
1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 dxe5,B04,"Alekhine Defense: Modern Variation, Larsen Variation",2545,0,47,55,8,C1
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Bg5,E81,King's Indian Defense: Steiner Attack,2541,0,22,26,4,C4
1. e4 e6 2. Nf3,C00,French Defense: Knight Variation,2525,0,10,15,5,C2
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4,C54,"Italian Game: Classical Variation, Center Attack",2513,0,-6,31,37,C2
1. d4 f5 2. Bg5,A80,Dutch Defense: Hopton Attack,2499,0,60,59,-1,C0
1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bg5,D80,GrÃ¼nfeld Defense: Stockholm Variation,2497,0,16,13,-3,C3
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Be2 e5,B58,Sicilian Defense: Boleslavsky Variation,2496,0,22,22,0,C1
1. d4 Nf6 2. c4 g6 3. g3 Bg7 4. Bg2 d5,E60,GrÃ¼nfeld Defense: Counterthrust Variation,2469,0,53,64,11,C4
1. e4 d5 2. exd5 Nf6 3. d4 Nxd5,B01,Scandinavian Defense: Marshall Variation,2463,0,67,71,4,C1
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5,C58,"Italian Game: Two Knights Defense, Polerio Defense",2457,0,-8,29,37,C2
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 c6 12. d4,C89,"Ruy Lopez: Marshall Attack, Main Line",2449,0,0,3,3,C2
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Nd4,C48,"Four Knights Game: Spanish Variation, Rubinstein Variation",2441,0,1,9,8,C2
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. f3 d5 5. a3 Bxc3+ 6. bxc3 c5 7. cxd5,E25,Nimzo-Indian Defense: SÃ¤misch Variation,2440,0,16,31,15,C4
1. e4 c5 2. Nf3 Nc6 3. Nc3 e5 4. Bc4 Be7 5. d3 d6,B30,"Sicilian Defense: Closed, Anti-Sveshnikov Variation, with d6",2440,0,25,32,7,C1
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Be7 8. Qf3 Qc7,B98,"Sicilian Defense: Najdorf Variation, Traditional Line",2423,0,39,48,9,C1
1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Nf6 5. e5,C44,"Scotch Game: Scotch Gambit, Advance Variation",2422,0,-12,4,16,C2
1. Nf3 d5 2. g3 Bg4 3. Bg2 Nd7,A07,King's Indian Attack: Keres Variation,2419,0,17,29,12,C0
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Nf3 O-O 6. Be2 e5 7. O-O Nc6 8. d5 Ne7 9. Nd2,E97,"King's Indian Defense: Orthodox Variation, Modern System",2419,0,26,26,0,C4
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. e3 e6 5. Nbd2,D30,Semi-Slav Defense: Quiet Variation,2416,0,28,23,-5,C3
1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. e3 e6 5. Nf3 a6,D45,Semi-Slav Defense: Accelerated Meran Variation,2411,0,26,32,6,C3
1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. e3 e6 5. Nf3 Nbd7 6. Bd3 dxc4 7. Bxc4 b5 8. Bd3 a6,D48,Semi-Slav Defense: Meran Variation,2410,0,28,34,6,C3
1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Bg4,B22,"Sicilian Defense: Alapin Variation, Barmen Defense, Modern Line",2409,0,16,35,19,C1
1. d4 Nf6 2. c4 g6 3. g3 Bg7 4. Bg2 d5 5. cxd5 Nxd5,D71,Neo-GrÃ¼nfeld Defense: Exchange Variation,2404,0,44,62,18,C3
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 dxe4 5. Nxe4 Be7 6. Bxf6 gxf6,C11,"French Defense: Classical Variation, Burn Variation, Morozevich Line",2404,0,15,17,2,C2
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5 6. Bb5+,C58,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",2394,0,-15,22,37,C2
1. e4 c5 2. Nf3 e6 3. c4,B40,Sicilian Defense: Kramnik Variation,2388,0,9,27,18,C1
1. d4 d5 2. c4 c6 3. Nf3 e6 4. e3 Nf6 5. Nc3 Bd6 6. Bd3 dxc4 7. Bxc4 b5 8. Bd3 Nbd7 9. O-O O-O 10. Qc2,D46,Semi-Slav Defense: Chigorin Defense,2385,0,18,20,2,C3
1. d4 d5 2. c4 dxc4 3. e4 e5,D20,"Queen's Gambit Accepted: Central Variation, McDonnell Defense",2380,0,38,37,-1,C3
1. d4 f5 2. c4 Nf6 3. Nc3,A85,Dutch Defense: Queen's Knight Variation,2366,0,42,49,7,C0
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6 5. e3 Nbd7 6. Qc2 Bd6 7. g4,D45,"Semi-Slav Defense: Stoltz Variation, Shabalov Attack",2353,0,-20,-14,6,C3
1. d4 d5 2. Nf3 c5,D02,Queen's Pawn Game: Krause Variation,2352,0,28,35,7,C3
1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Ngf3 Nc6,C09,"French Defense: Tarrasch Variation, Open System, Main Line",2352,0,29,33,4,C2
1. d4 Nf6 2. Nf3 g6 3. g3 Bg7 4. Bg2 O-O 5. O-O d5 6. c4 dxc4,D77,"Neo-GrÃ¼nfeld Defense: Classical Variation, Modern Defense",2351,0,11,14,3,C3
1. e4 c6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Ng5,B17,"Caro-Kann Defense: Karpov Variation, Modern Variation",2351,0,33,35,2,C1
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be2,B70,"Sicilian Defense: Dragon Variation, Classical Variation",2349,0,18,34,16,C1
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Nf3 O-O 6. Be2 e5 7. dxe5,E92,King's Indian Defense: Exchange Variation,2336,0,0,36,36,C4
1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 g6,B04,"Alekhine Defense: Modern Variation, Alburt Variation",2332,0,67,73,6,C1
1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Bc4 c5 8. Ne2 O-O,D87,"GrÃ¼nfeld Defense: Exchange Variation, Spassky Variation",2330,0,18,23,5,C3
1. d4 c5 2. d5 e5,A44,Benoni Defense: Old Benoni,2323,0,144,142,-2,C0
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. O-O,C72,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense",2319,0,40,37,-3,C2
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Be7 6. Nc3,E17,Queen's Indian Defense: Anti-Queen's Indian System,2316,0,26,29,3,C4
1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. e4,A28,"English Opening: Four Knights System, Nimzowitsch Variation",2307,0,0,16,16,C0
1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Nxc6 Qf6,C45,"Scotch Game: Classical Variation, Intermezzo Variation",2306,0,11,19,8,C2
1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. e3,D94,"GrÃ¼nfeld Defense: Three Knights Variation, Burille Variation",2300,0,5,10,5,C3
1. e4 e5 2. f4 exf4 3. Nf3,C34,King's Gambit Accepted: King's Knight's Gambit,2298,0,-79,-59,20,C2
1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. Ne2,C15,"French Defense: Winawer Variation, Alekhine-MarÃ³czy Gambit",2296,0,18,41,23,C2
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 c5 5. dxc5 O-O,E39,"Nimzo-Indian Defense: Classical Variation, Berlin Variation, Pirc Variation",2295,0,22,19,-3,C4
1. c4 c5 2. Nf3 Nf6 3. Nc3 d5 4. cxd5 Nxd5 5. g3 Nc6 6. Bg2 Nc7,A34,"English Opening: Symmetrical Variation, Rubinstein Variation",2295,0,11,28,17,C0
1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 c5 5. a3 Bxc3+ 6. bxc3 Ne7 7. Qg4 Qc7,C19,"French Defense: Winawer Variation, Poisoned Pawn Variation",2292,0,77,85,8,C2
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Nge2,E81,"King's Indian Defense: SÃ¤misch Variation, Bobotsov-Korchnoi-Petrosian Variation",2286,0,39,38,-1,C4
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3 Nc6,E83,"King's Indian Defense: SÃ¤misch Variation, Yates Defense",2285,0,58,61,3,C4
1. d4 Nf6 2. Nf3 e6 3. Bg5 h6,A46,"Torre Attack: Classical Defense, Nimzowitsch Variation",2284,0,11,13,2,C0
1. Nf3 Nf6 2. g3 b5,A05,King's Indian Attack: Spassky Variation,2282,0,23,27,4,C0
1. d4 d5 2. c4 e6 3. Nc3 c6 4. e4,D31,Semi-Slav Defense: Marshall Gambit,2273,0,41,65,24,C3
1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 c5,E11,Bogo-Indian Defense: Vitolins Variation,2270,0,38,33,-5,C4
1. d4 Nf6 2. Nf3 c5 3. d5 b5,A43,Indian Defense: Pseudo-Benko,2266,0,54,51,-3,C0
1. e4 c6 2. d4 d5 3. f3,B12,Caro-Kann Defense: MarÃ³czy Variation,2266,0,25,39,14,C1
1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4,A66,Benoni Defense: Pawn Storm Variation,2265,0,104,111,7,C0
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Bxc6,C85,"Ruy Lopez: Closed, Delayed Exchange",2265,0,-1,19,20,C2
1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. Nf3 d6,B06,"Modern Defense: Two Knights Variation, Suttles Variation",2261,0,62,80,18,C1
1. e4 g6 2. d4 Bg7 3. Nf3 d6 4. c3,B07,Modern Defense: Geller's System,2255,0,44,47,3,C1
1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 c5 5. a3 Bxc3+ 6. bxc3 Ne7 7. Qg4 Qc7 8. Qxg7 Rg8 9. Qxh7 cxd4 10. Ne2,C19,"French Defense: Winawer Variation, Poisoned Pawn Variation, Main Line",2247,0,68,67,-1,C2
1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. b6,A57,Benko Gambit Accepted: Pawn Return Variation,2239,0,22,26,4,C0
1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. e4 Bg7 8. h3,A70,"Benoni Defense: Classical Variation, New York Variation",2238,0,51,76,25,C0
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. Qe2,C77,"Ruy Lopez: Morphy Defense, Wormald Attack",2234,0,-15,-22,-7,C2
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. a3 Bb7 5. Nc3 d5 6. cxd5 Nxd5 7. Qc2,E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Kasparov Attack",2230,0,19,19,0,C4
1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3 dxc4 6. Qxc4 O-O 7. e4 a6,D97,"GrÃ¼nfeld Defense: Russian Variation, Hungarian Variation",2221,0,19,21,2,C3
1. d4 Nf6 2. Nf3 g6 3. Nc3 d5 4. Bf4,A48,Queen's Pawn Game: Barry Attack,2210,0,0,27,27,C0
1. e4 e5 2. Nf3 Nc6 3. Bb5 Nge7,C60,Ruy Lopez: Cozio Defense,2200,0,65,76,11,C2
1. d4 Nf6 2. c4 g6 3. Nf3 Bg7 4. g3 O-O 5. Bg2 c6 6. O-O d5 7. cxd5 cxd5,D79,Neo-GrÃ¼nfeld Defense: Ultra-Delayed Exchange Variation,2189,0,17,19,2,C3
1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 c5 5. a3 Bxc3+ 6. bxc3 Qa5,C18,"French Defense: Winawer Variation, Portisch-Hook Variation",2188,0,73,95,22,C2
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Nf3 d5,E51,"Nimzo-Indian Defense: Normal Variation, Ragozin Variation",2179,0,17,18,1,C4
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Bb4 5. e5 h6 6. Bd2 Bxc3,C12,"French Defense: MacCutcheon Variation, Lasker Variation",2179,0,46,57,11,C2
1. e4 e5 2. Nf3 Nc6 3. Bb5 f5 4. Nc3,C63,"Ruy Lopez: Schliemann Defense, Dyckhoff Variation",2175,0,45,49,4,C2
1. e4 e5 2. Nc3 Nf6 3. g3,C26,Vienna Game: Mieses Variation,2172,0,-15,-6,9,C2
1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 b5,E10,Blumenfeld Countergambit,2171,0,64,63,-1,C4
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Be2 O-O 6. Be3,E73,King's Indian Defense: Semi-Averbakh System,2164,0,65,62,-3,C4
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. c3,C74,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense",2163,0,22,23,1,C2
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 b6 5. Bd3 Bb7 6. Nf3,E43,Nimzo-Indian Defense: St. Petersburg Variation,2158,0,24,24,0,C4
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3 e5,E85,"King's Indian Defense: SÃ¤misch Variation, Orthodox Variation",2157,0,89,77,-12,C4
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Be7 5. e5 Nfd7 6. Bxe7 Qxe7,C14,French Defense: Classical Variation,2157,0,44,74,30,C2
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 d6 6. Be2 Be7 7. O-O O-O 8. f4 Nc6 9. Be3,B83,"Sicilian Defense: Scheveningen Variation, Modern Variation",2155,0,27,26,-1,C1
1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. Nd2,A61,Benoni Defense: Knight's Tour Variation,2145,0,66,67,1,C0
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 dxc4 5. e3,D37,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",2131,0,15,15,0,C3
1. e4 e6 2. d4 d5 3. Nd2 a6,C03,"French Defense: Tarrasch Variation, Modern System",2130,0,32,52,20,C2
1. g3 c5,A00,Hungarian Opening: Sicilian Invitation,2121,0,13,21,8,C0
1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 c5 5. a3 Bxc3+ 6. bxc3 Ne7 7. Nf3,C19,"French Defense: Winawer Variation, Positional Variation",2114,0,29,37,8,C2
1. c4 Nf6 2. Nf3 c5 3. Nc3 Nc6 4. g3 g6 5. Bg2 Bg7,A38,"English Opening: Symmetrical Variation, Full Symmetry Line",2104,0,36,38,2,C0
1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. h3,B08,"Pirc Defense: Classical Variation, Schlechter Variation",2098,0,33,60,27,C1
1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. Bc4 Nb6 6. Bb3,B22,"Sicilian Defense: Alapin Variation, Stoltz Attack",2092,0,11,21,10,C1
1. d4 d5 2. c4 dxc4 3. Nf3 Nf6 4. Nc3,D24,Queen's Gambit Accepted: Showalter Variation,2089,0,0,12,12,C3
1. b4,A00,Polish Opening,2089,0,-30,-25,5,C0
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 Be7 5. Bg5 O-O 6. e3 Nbd7 7. Rc1,D63,"Queen's Gambit Declined: Orthodox Defense, Main Line",2079,0,14,15,1,C3
1. c4 c5 2. Nc3 Nc6 3. g3,A36,"English Opening: Symmetrical Variation, Two Knights, Fianchetto Variation",2079,0,17,13,-4,C0
1. e4 e6 2. Qe2,C00,French Defense: Chigorin Variation,2062,0,-15,-18,-3,C2
1. d4 Nf6 2. c4 g6 3. Nf3 Bg7 4. g3 O-O 5. Bg2 d6 6. O-O Nc6 7. Nc3 e5,E62,"King's Indian Defense: Fianchetto Variation, Uhlmann-Szabo System",2058,0,34,46,12,C4
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. d3,C49,"Four Knights Game: Spanish Variation, Double Spanish",2058,0,15,19,4,C2
1. e4 Nc6 2. Nf3 d6,B00,Nimzowitsch Defense: Williams Variation,2053,0,60,62,2,C1
1. d4 d5 2. c4 dxc4 3. Nf3 Nf6 4. e3 e6 5. Bxc4 c5 6. O-O a6 7. a4,D27,"Queen's Gambit Accepted: Classical Defense, Rubinstein Variation",2049,0,16,22,6,C3
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Bg5,E30,Nimzo-Indian Defense: Leningrad Variation,2049,0,-12,-15,-3,C4
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5 6. Ne5 Nbd7 7. Nxc4 Qc7 8. g3 e5,D17,"Slav Defense: Czech Variation, Carlsbad Variation",2044,0,37,72,35,C3
1. e4 Nf6 2. Nc3 d5,B02,Alekhine Defense: Scandinavian Variation,2033,0,29,38,9,C1
1. d4 Nf6 2. Nf3 g6 3. Nc3 d5 4. Bf4 Bg7,A48,Queen's Pawn Game: Barry Attack,2031,0,0,18,18,C0
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 d6 6. Bg5 Bd7 7. Qd2,B61,"Sicilian Defense: Richter-Rauzer Variation, Modern Variation",2025,0,38,47,9,C1
1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 g6,B14,"Caro-Kann Defense: Panov Attack, Fianchetto Defense",2025,0,20,30,10,C1
1. c4 e5 2. Nc3 Nf6 3. g3 d5,A22,"English Opening: King's English Variation, Two Knights Variation, Reversed Dragon",2021,0,20,22,2,C0
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Be2 O-O 6. Bg5 c5,E74,"King's Indian Defense: Averbakh Variation, Benoni Defense",2018,0,24,39,15,C4
1. e4 d6 2. d4 Nf6 3. f3,B00,Lion Defense: Lion's Jaw,2018,0,29,41,12,C1
1. Nf3 d5 2. g3 c5 3. Bg2 Nc6,A08,King's Indian Attack: French Variation,2018,0,35,35,0,C0
1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 Qxd5 5. Ngf3 cxd4 6. Bc4 Qd6 7. O-O Nf6 8. Nb3 Nc6 9. Nbxd4 Nxd4 10. Nxd4 a6,C07,"French Defense: Tarrasch Variation, Chistyakov Defense, Modern Line",2013,0,26,27,1,C2
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Be2 O-O 6. Bg5 c5 7. d5,E74,"King's Indian Defense: Averbakh Variation, Benoni Defense, Advance Variation",1997,0,26,44,18,C4
1. d4 d5 2. c4 dxc4 3. Nf3 a6,D22,Queen's Gambit Accepted: Alekhine Defense,1996,0,29,28,-1,C3
1. d4 Nf6 2. c4 Nc6,A50,Mexican Defense,1993,0,58,54,-4,C0
1. e4 c6 2. d4 d5 3. Nc3 g6,B15,Caro-Kann Defense: Gurgenidze System,1992,0,99,114,15,C1
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Be7 6. O-O O-O 7. Re1,E17,"Queen's Indian Defense: Fianchetto Variation, Kramnik Variation",1991,0,29,31,2,C4
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Bc5,C78,"Ruy Lopez: Morphy Defense, Neo-Arkhangelsk Variation",1977,0,32,62,30,C2
1. d4 d5 2. Nf3 Nf6 3. e3 e6 4. Bd3,D05,Queen's Pawn Game: Colle System,1974,0,6,13,7,C3
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Be7 6. O-O O-O 7. Nc3 Ne4 8. Qc2 Nxc3 9. Qxc3,E19,"Queen's Indian Defense: Classical Variation, Traditional Variation, Main Line",1972,0,13,23,10,C4
1. c4 e5 2. g3 Nf6 3. Bg2 d5 4. cxd5 Nxd5 5. Nf3 Nc6,A29,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line",1959,0,16,26,10,C0
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Bg7 6. Be3 Nf6 7. Nc3 Ng4,B39,"Sicilian Defense: Accelerated Dragon, MarÃ³czy Bind, Breyer Variation",1943,0,63,73,10,C1
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3 Nc6 7. Nge2 a6,E83,"King's Indian Defense: SÃ¤misch Variation, Panno Formation",1942,0,65,68,3,C4
1. e4 c5 2. Nf3 Nf6 3. e5,B29,"Sicilian Defense: Nimzowitsch Variation, Advance Variation",1942,0,69,69,0,C1
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 c5 5. cxd5 Nxd5 6. e4,D41,"Queen's Gambit Declined: Semi-Tarrasch Defense, Exchange Variation",1942,0,33,41,8,C3
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 d5 5. cxd5 exd5,E35,"Nimzo-Indian Defense: Classical Variation, Noa Variation",1936,0,11,20,9,C4
1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5,B07,Pirc Defense: Byrne Variation,1933,0,56,61,5,C1
1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Bf4,D92,"GrÃ¼nfeld Defense: Three Knights Variation, Hungarian Attack",1931,0,8,11,3,C3
1. e4 e6 2. d3 d5 3. Nd2 Nf6 4. Ngf3 c5 5. g3 Nc6 6. Bg2 Be7 7. O-O O-O 8. Re1,A08,King's Indian Attack: Sicilian Variation,1928,0,-21,-8,13,C0
1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Nb3,C45,Scotch Game: Potter Variation,1920,0,14,13,-1,C2
1. d4 d5 2. Nf3 Nf6 3. Bg5,D03,Queen's Pawn Game: Torre Attack,1913,0,-19,-9,10,C3
1. d4 d5 2. c4 Nc6 3. Nf3 Bg4,D07,"Queen's Gambit Declined: Chigorin Defense, Main Line",1913,0,70,83,13,C3
1. e4 e5 2. Nf3 Nc6 3. Bb5 Bc5,C64,Ruy Lopez: Classical Variation,1904,0,40,71,31,C2
1. e4 b6,B00,Owen Defense,1900,0,88,90,2,C1
1. c4 Nf6 2. Nf3 d6,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",1899,0,61,69,8,C0
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Be2 O-O 6. Bg5 Na6,E73,"King's Indian Defense: Averbakh Variation, Modern Defense",1898,0,65,80,15,C4
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Be7 5. e5 Nfd7 6. Bxe7 Qxe7 7. f4,C14,"French Defense: Classical Variation, Steinitz Variation",1895,0,40,78,38,C2
1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. Bb5+,A67,Benoni Defense: Taimanov Variation,1895,0,93,113,20,C0
1. e4 Nc6 2. d4,B00,Nimzowitsch Defense,1894,0,41,78,37,C1
1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ gxf6,B16,Caro-Kann Defense: Bronstein-Larsen Variation,1893,0,102,104,2,C1
1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. g3 d6 8. Bg2 Bg7 9. Nf3,A58,Benko Gambit Accepted: Fianchetto Variation,1890,0,58,69,11,C0
1. d4 Nf6 2. c4 g6 3. Nf3 Bg7 4. g3 O-O 5. Bg2 d5 6. cxd5 Nxd5 7. O-O Nb6,D76,Neo-GrÃ¼nfeld Defense: Delayed Exchange Variation,1890,0,27,47,20,C3
